City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-16.4174,91.1264,77,65,100,7.51,cc,1682651218
1,kristiansund,72.9592,4.7263,39,88,100,2.39,no,1682651219
2,thompson,73.5361,-94.0874,12,93,100,6.18,ca,1682651219
3,grytviken,-70.825,-29.1822,24,97,100,2.9,gs,1682651219
4,waitangi,-49.0805,-171.0479,48,65,100,12.51,nz,1682651219
5,port-aux-francais,-69.5218,69.1178,3,66,100,6.58,tf,1682651219
6,blackmans bay,-74.1042,140.2858,-56,99,64,5.84,au,1682651220
7,wailua homesteads,26.2802,-172.4538,69,65,4,7.93,us,1682651220
8,ihosy,-23.4915,46.314,53,92,17,2.95,mg,1682651220
9,vadso,70.5794,28.6573,30,96,79,3.45,no,1682651220
10,isafjordur,79.3946,-34.5441,-22,77,19,6.71,is,1682651220
11,nabire,-2.5481,135.6657,82,73,89,0.84,id,1682651221
12,beira,-20.805,35.9965,78,69,7,3.34,mz,1682651221
13,talnakh,69.9061,90.2342,16,90,99,1.05,ru,1682651221
14,borogontsy,63.7526,130.4947,34,85,100,1.47,ru,1682651222
15,ugu,26.8296,80.3618,90,19,100,1.27,in,1682651222
16,nadym,65.8632,72.939,23,93,100,9.34,ru,1682651223
17,kongsvinger,60.3773,12.6668,29,88,24,2.19,no,1682651224
18,san patricio,13.0958,-109.3771,79,70,5,3.82,mx,1682651225
19,valparaiso,-32.5462,-75.8133,65,82,100,9.1,cl,1682651226
20,longyearbyen,84.1449,18.2745,-4,92,60,7.5,sj,1682651226
21,edinburgh of the seven seas,-53.2885,2.6822,33,96,100,6.98,sh,1682651227
22,margaret river,-36.8068,97.8026,56,62,100,3.2,au,1682651227
23,verkhnevilyuysk,65.0,119.811,32,99,96,2.8,ru,1682651227
24,ushuaia,-81.6746,-66.3651,-1,99,100,4.6,ar,1682651228
25,ribeira grande,39.5648,-32.3803,58,66,53,9.97,pt,1682651229
26,luderitz,-30.0164,6.2868,65,69,85,3.79,na,1682651229
27,anadyr,45.6608,177.436,41,94,100,17.0,ru,1682651230
28,enewetak,26.2054,161.0621,73,79,7,6.09,mh,1682651230
29,tolanaro,-40.9575,49.7151,61,72,100,13.39,mg,1682651231
30,adamstown,-81.157,-121.2989,-27,76,29,6.94,pn,1682651231
31,red deer,51.7948,-113.2967,47,48,99,2.8,ca,1682651231
32,bredasdorp,-84.1821,26.1159,-49,84,69,6.77,za,1682651232
33,bilibino,82.5228,168.7646,5,94,25,2.85,ru,1682651232
34,kodiak,48.6597,-154.8128,42,74,13,3.12,us,1682651233
35,nova sintra,5.8461,-30.7615,81,74,100,6.63,cv,1682651233
36,touros,2.4602,-26.7516,82,79,100,5.28,br,1682651235
37,mhamid,28.1259,-5.0598,80,12,1,3.28,ma,1682651235
38,sitka,47.8108,-139.9343,48,97,100,6.82,us,1682651236
39,papatowai,-86.6905,169.7212,-27,96,95,8.08,nz,1682651237
40,dubrovnik,42.4511,17.9635,57,57,3,6.35,hr,1682651238
41,arkhangel'sk,71.8617,42.6422,33,71,37,2.86,ru,1682651238
42,desaguadero,-17.3134,-69.0876,44,37,0,2.04,pe,1682651239
43,tiksi,76.1217,119.749,27,83,59,1.64,ru,1682651240
44,tazovsky,86.1525,73.1814,26,95,100,4.24,ru,1682651240
45,qarazhal,46.6371,71.6962,63,30,3,8.17,kz,1682651241
46,lockhart,29.9416,-97.5729,71,91,0,2.53,us,1682651241
47,taiohae,1.1019,-153.7307,81,79,74,5.59,pf,1682651242
48,qobustan,39.7113,49.56,60,90,11,3.36,az,1682651243
49,sao miguel do araguaia,-12.2537,-51.8428,74,73,56,1.29,br,1682651243
50,klyuchi,57.8267,168.9311,32,63,6,5.46,ru,1682651244
51,ilha de mocambique,-16.1683,42.2496,80,73,35,6.26,mz,1682651244
52,puerto natales,-53.1274,-90.5767,40,68,100,15.56,cl,1682651245
53,iqaluit,78.5083,-86.9799,1,97,100,2.9,ca,1682651246
54,port moresby,-8.8878,146.8988,84,73,100,2.39,pg,1682651247
55,el calafate,-49.925,-76.2601,48,92,100,10.64,ar,1682651248
56,mahabaleshwar,17.5148,73.3229,83,49,63,0.44,in,1682651249
57,udachny,88.3179,106.4244,3,96,95,2.39,ru,1682651250
58,breckenridge,32.5983,-98.9379,63,63,0,2.06,us,1682651251
59,puerto ayora,-14.748,-93.2823,76,76,0,4.54,ec,1682651252
60,albany,-79.2351,116.8592,-54,100,100,6.32,au,1682651252
61,maydanshakhr,34.5824,68.6036,32,62,0,0.85,af,1682651252
62,magadan,55.1133,148.036,31,84,32,9.47,ru,1682651255
63,neryungri,56.7536,122.2196,27,63,11,1.22,ru,1682651255
64,bodo,72.3554,10.8107,41,86,100,0.98,no,1682651256
65,vingt cinq,-8.7615,59.9852,81,80,83,5.09,mu,1682651257
66,iskateley,66.6508,54.0641,23,88,62,4.05,ru,1682651257
67,matthew town,21.5515,-73.169,79,74,99,5.89,bs,1682651258
68,invercargill,-45.6954,159.4918,58,89,34,12.9,nz,1682651258
69,paramonga,-12.0436,-80.4029,77,68,100,4.21,pe,1682651259
70,papao,-32.2925,-149.3678,67,79,4,12.41,pf,1682651259
71,holualoa,16.8098,-155.7872,76,70,20,4.83,us,1682651260
72,katsuura,27.3686,144.9795,72,89,86,7.77,jp,1682651261
73,mendaha,-1.2656,103.1542,84,73,100,0.26,id,1682651262
74,halvad,22.9821,70.9995,83,54,16,2.07,in,1682651263
75,yellowknife,87.1636,-121.235,6,94,100,2.39,ca,1682651264
76,treasure island,27.3316,-84.0647,75,92,100,1.63,us,1682651265
77,labasa,-13.9785,179.0938,83,70,8,0.78,fj,1682651265
78,lorengau,2.6691,144.6241,84,71,100,2.51,pg,1682651266
79,hohhot,40.0198,111.8053,43,48,100,10.29,cn,1682651266
80,stanley,-79.1405,-55.0653,5,95,100,4.44,fk,1682651267
81,bethel,72.2024,-163.1813,13,86,100,6.88,us,1682651267
82,utrik,29.1635,175.2973,67,76,15,7.07,mh,1682651267
83,mount gambier,-58.3122,128.3788,34,78,64,9.23,au,1682651267
84,kataragama,2.3837,86.6317,81,78,100,1.93,lk,1682651268
85,qusmuryn,52.885,64.9016,61,44,100,3.93,kz,1682651268
86,punta arenas,-83.9202,-92.3653,-5,98,100,4.4,cl,1682651268
87,vorgashor,83.9264,62.9067,22,93,100,4.83,ru,1682651269
88,port alfred,-57.7902,33.7816,32,100,100,1.37,za,1682651269
89,mount pearl,35.3124,-45.7228,60,64,100,7.92,ca,1682651269
90,susuman,61.9901,149.9598,31,80,99,3.26,ru,1682651269
91,tazacorte,25.2948,-20.9066,70,74,0,4.81,es,1682651270
92,aral,40.1525,81.4761,66,13,99,3.9,cn,1682651270
93,forster,-33.2507,154.0296,70,73,100,8.73,au,1682651270
94,nar'yan-mar,66.4165,52.9554,21,91,58,3.38,ru,1682651271
95,sinabang,-0.8448,90.0373,83,77,100,3.46,id,1682651271
96,norwich,42.5594,-75.6558,45,81,64,1.6,us,1682651271
97,bengkulu,-7.2579,98.7048,82,79,94,3.46,id,1682651271
98,hermanus,-66.7018,10.3711,15,63,1,7.28,za,1682651271
99,wewak,-2.7561,144.2479,84,71,96,1.49,pg,1682651272
100,badger,79.7512,-144.2796,0,91,21,2.42,us,1682651272
101,hawaiian paradise park,13.6217,-146.6984,75,73,86,5.89,us,1682651272
102,namibe,-13.653,11.1486,77,77,23,6.24,ao,1682651272
103,nemuro,32.1765,158.9659,61,79,100,7.28,jp,1682651272
104,gondar,12.4602,37.2637,64,72,100,1.07,et,1682651273
105,alegrete,-30.2231,-55.9456,60,77,79,1.42,br,1682651273
106,kenora,50.9512,-94.2928,35,96,100,2.31,ca,1682651273
107,tofol,2.7088,163.8009,85,74,100,6.61,fm,1682651273
108,saint-pierre,38.8734,-54.229,54,64,100,5.13,pm,1682651274
109,barentu,14.9799,37.1739,80,47,40,0.98,er,1682651274
110,jinchang,38.6645,101.8965,33,17,0,8.3,cn,1682651274
111,crossett,33.1147,-91.5098,66,92,3,3.3,us,1682651274
112,cockburn town,25.628,-66.1027,74,73,13,4.76,tc,1682651275
113,volodarskiy,46.3964,48.7864,63,45,7,3.18,ru,1682651275
114,oriximina,0.0395,-55.4601,71,99,100,1.16,br,1682651275
115,tsiombe,-42.8649,46.8042,56,84,100,15.89,mg,1682651275
116,east london,-37.6863,31.1686,65,58,0,7.88,za,1682651275
117,torrington,42.9536,-104.1101,41,77,89,8.86,us,1682651276
118,hilo,27.1953,-148.6086,68,59,0,1.05,us,1682651276
119,petropavlovsk-kamchatsky,33.9134,169.4139,63,88,100,7.68,ru,1682651276
120,danjiangkou,33.0866,111.6386,66,44,98,6.9,cn,1682651276
121,cargados carajos,-13.4805,63.2517,81,75,57,4.64,mu,1682651277
122,ilulissat,76.1924,-42.0051,-26,100,99,5.44,gl,1682651277
123,mount isa,-20.0899,138.6182,88,27,5,3.88,au,1682651277
124,richfield,39.0272,-112.9772,66,23,85,6.3,us,1682651277
125,zouerate,22.8757,-11.3555,83,21,0,5.28,mr,1682651278
126,lazaro cardenas,25.4317,-123.2769,62,79,100,4.12,mx,1682651278
127,howard springs,-11.221,137.0203,83,71,82,5.88,au,1682651278
128,port saint john's,-34.927,31.3331,68,66,0,6.26,za,1682651278
129,lequile,40.2632,18.1149,55,63,18,5.1,it,1682651278
